Depth,Plot,Treatment,Block,Species,Total2012,Exotic2012,Native2012,PC1,PC2,Root_depth,SRL,LMA,Nmass,Aarea,LUE,WUE,Height,R.S,Seed_mass
Deep,52,Random,4,2,394.03504,297.54427,96.49077,-0.9697599,0.7755158,8.655704168,6.318981307,70.36927895,1.401115399,13.98020308,0.175139748,4.366668558,18.84979,4.624057219,3.35247335
Deep,53,Random,4,5,274.28656,40.13202,234.15454,-0.889922201,0.35096999,9.777210628,2.540154423,44.52121027,2.179234206,13.61902484,0.114046482,2.820432529,8.430584894,0.64775255,1.322306902
Deep,54,Random,4,8,390.12783,109.90349,280.22433,0.073858739,-0.711674717,10.70767053,3.663411729,47.70013207,2.664807713,12.39249771,0.177248274,4.564433065,18.12109701,0.515804566,1.537348588
Deep,55,Random,4,12,248.53205,102.26676,146.26529,-0.892128179,0.029740503,9.413728813,2.42680667,41.72270363,2.13585284,13.3756145,0.125027538,3.117873086,10.55591464,1.105462334,1.404938456
Medium,67,Random,5,2,264.71373,97.71731,166.99641,0.07,0.02,8.4,1.352160634,69.25333822,2.318,28.89422794,0.1684,3.540652037,10.1,0.205531239,0.51625
Medium,68,Random,5,5,241.17453,103.90386,137.27067,-0.2886521,-0.4435017,6.981393,1.974405638,53.07507956,2.859719862,15.24022984,0.199944698,4.756901736,6.37554305,0.443205944,0.808411939
Medium,69,Random,5,8,445.21803,147.47007,297.74796,2.4204999,-1.4600423,13.99586517,0.436478333,45.94319737,4.527515116,14.23055121,0.235671726,5.651703351,19.21604575,0.246673729,1.561825194
Medium,70,Random,5,12,472.89173,98.3763,374.51543,1.507685877,-1.35101271,12.453755,0.952984033,45.12067864,3.955115231,12.94412907,0.214821586,5.281178473,17.49454165,0.600903392,1.480055051
Deep,81,Random,6,16,265.89664,75.02611,190.87052,-1.17599058,0.139356613,7.683076172,2.636638735,59.90576144,1.924619691,15.27268839,0.137569353,3.359521808,9.233857723,0.556150962,1.493671297
Deep,82,Random,6,2,205.74684,112.22348,93.52337,-0.4635979,-0.9538062,10.70748244,1.744540354,38.58569536,1.70703039,10.82653013,0.145062984,4.621259018,36.118453,0.364249238,3.09462627
Deep,83,Random,6,5,382.92921,341.12852,41.80069,0.6702643,0.8638465,10.19342215,1.912987782,58.43610225,2.343448214,20.10216971,0.163606402,5.241757719,9.43147925,4.593138221,2.92025543
Deep,84,Random,6,8,274.31078,78.68607,195.62471,-1.229286193,-0.039248192,8.574236409,2.459012305,45.17953219,2.041912484,12.27949416,0.122076501,3.233511584,10.69021175,0.487252789,1.205452474
Deep,85,Random,6,12,339.53184,104.3022,235.22964,-0.262789172,-0.23404996,8.177448226,3.266483311,61.84675719,2.233993082,15.73046496,0.171747157,5.344079964,14.23693968,0.857947888,1.579010209
Medium,97,Random,7,2,255.55383,38.39946,217.15437,-0.7195586,0.3400554,10.7669335,2.644075799,31.7181704,2.378678586,11.60788765,0.0995722,2.979347327,9.244556,0.883999015,1.193039858
Medium,98,Random,7,5,272.06669,51.09461,220.97207,2.146689233,-1.354561454,13.47022488,0.380434028,44.05630938,4.034294984,15.28759788,0.213725545,5.489908277,20.90464695,0.251613365,1.689396584
Medium,99,Random,7,8,553.83495,75.07306,478.76188,0.9653396,-0.7511764,10.5772729,0.963506454,57.58864246,3.423044427,15.67120326,0.197151858,4.892939223,14.31909355,0.43757764,1.440778004
Medium,100,Random,7,12,447.92617,64.71982,383.20635,-0.5683352,0.1163809,11.44487967,3.107295233,35.49402391,2.325528595,12.74849897,0.120298284,3.352718734,10.719362,0.945733588,2.15852136
Shallow,112,Random,8,2,163.14628,26.4803,136.66598,-0.5609512,0.4026922,6.2280594,1.320266389,75.75469434,1.879624803,21.43593389,0.142323312,3.605481003,7.4051294,0.223100319,1.17112826
Shallow,113,Random,8,5,297.32884,73.12673,224.20211,-0.8746149,-0.0443825,10.41928823,3.76332171,36.13406536,2.061631311,11.6467086,0.119075106,3.212048864,13.13875225,0.396180557,1.300692222
Shallow,114,Random,8,8,191.60771,4.61562,186.99209,1.5729674,-1.0109026,12.7763617,1.609793299,56.3201073,3.84509045,14.52159446,0.218224644,5.360022952,18.5101418,0.321601992,1.97455898
Shallow,115,Random,8,12,181.3459,21.23894,160.10696,-0.454642146,0.377122771,11.14568221,2.415518937,44.5045663,2.564420744,13.7819027,0.129480967,4.424065208,9.016485065,2.176697169,3.45736314
Deep,126,Random,9,16,269.73276,36.63765,233.09511,-1.2415708,-0.231913,7.844744867,5.820351168,64.61837733,1.543812833,13.15818562,0.172283236,4.533841024,19.0501608,0.795327177,2.157411028
Deep,127,Random,9,2,,,,,,15.125,0.18198792,44.00561022,4.872289562,13.64261619,0.2428,5.942548745,20.5,0.244428111,1.622
Deep,128,Random,9,5,795.5924,216.72554,578.86686,2.7931686,-1.6237473,14.882306,0.207439866,43.99722745,4.781377483,13.86850908,0.239360496,5.873473701,20.136787,0.243455506,1.591287095
Deep,129,Random,9,8,257.53183,72.39379,185.13803,-1.449468505,0.497342627,5.746709083,3.834681244,74.60001864,1.705334724,14.52250198,0.145891387,4.317861554,12.42719273,1.064587961,1.542246385
Deep,130,Random,9,12,186.50329,30.451,156.0523,-0.1811004,-0.7226955,7.404273083,2.665124626,46.80183108,2.290662083,15.50873155,0.1897725,5.400301652,12.77067515,0.882585021,1.724145136
