Depth,Plot,Treatment,Block,Species,Year,Total,Exotic,Native,PC1CWM,PC2CWM
Deep,50,Ordered,4,12,2012,301.66902,52.79818,248.87085,0.0297493,0.0112833
Deep,51,Ordered,4,16,2012,393.63582,92.18699,301.44883,0.3425949,-0.3749245
Medium,62,Ordered,5,2,2012,289.96,16.7654,273.1946,0.8560032,0.3789728
Medium,63,Ordered,5,5,2012,317.13977,70.89228,246.24749,-0.468447516,1.136160938
Medium,64,Ordered,5,8,2012,280.89742,96.41588,184.48154,-1.254864449,0.993415534
Medium,65,Ordered,5,12,2012,315.10284,106.72097,208.38187,-1.1997243,0.460452
Medium,66,Ordered,5,16,2012,383.96795,64.21879,319.74916,-0.933377466,-0.14595634
Deep,77,Ordered,6,2,2012,366.45873,44.58361,321.87512,0.86222,0.32613
Deep,78,Ordered,6,5,2012,370.1286,76.63832,293.49028,-0.957518075,1.774840148
Deep,79,Ordered,6,8,2012,331.39162,25.87004,305.52158,-0.968260117,0.281785382
Deep,80,Ordered,6,12,2012,205.6454,16.87215,188.77325,-1.09501625,0.4599828
Medium,92,Ordered,7,2,2012,186.81549,108.32026,78.49523,0.8760406,0.2086549
Medium,93,Ordered,7,5,2012,176.63502,34.91557,141.71945,-0.6472361,2.2038162
Medium,94,Ordered,7,8,2012,194.50893,50.60139,143.90754,-1.1365,1.4403075
Medium,95,Ordered,7,12,2012,278.63416,44.85778,233.77638,-0.167621152,0.607435449
Medium,96,Ordered,7,16,2012,290.70777,59.1264,231.58137,-0.485577756,-0.142763828
Shallow,107,Ordered,8,2,2012,190.56681,50.71174,139.85507,0.6256282,2.3371603
Shallow,108,Ordered,8,5,2012,203.53752,16.46789,187.06963,-0.3740311,1.7946641
Shallow,109,Ordered,8,8,2012,310.19535,60.90479,249.29056,-0.9127556,0.8360408
Shallow,110,Ordered,8,12,2012,378.26854,81.85142,296.41712,-1.008276734,-0.242917542
Shallow,111,Ordered,8,16,2012,340.83669,82.09528,258.74141,-1.154229827,-0.066367591
Deep,122,Ordered,9,2,2012,171.32138,62.65381,108.66758,0.6804356,1.8712974
Deep,123,Ordered,9,5,2012,463.23424,57.75497,405.47927,0.4888741,0.1480827
Deep,124,Ordered,9,8,2012,282.23606,106.40503,175.83103,-1.2800059,0.943278967
Deep,125,Ordered,9,12,2012,321.62236,69.97579,251.64657,-1.07696873,0.173181668
Shallow,6,Random,1,16,2010,228.2336667,15.29433333,212.9393333,-1.1636407,-0.4486833
Shallow,7,Random,1,2,2010,358.3333333,0,358.3333333,1.325816,-0.768376
Shallow,8,Random,1,5,2010,389.5583333,0,389.5583333,-1.262488225,-0.872074521
Shallow,9,Random,1,8,2010,351.0866667,8.750666667,342.336,-0.457772822,-0.064126159
Shallow,10,Random,1,12,2010,201.9673333,0,201.9673333,-0.538266783,0.059065991
Medium,21,Random,2,16,2010,475.4346667,0,475.4346667,-0.482332977,0.326638834
Medium,22,Random,2,2,2010,89.881,11.88,78.001,0.57,2.81
Medium,23,Random,2,5,2010,547.739,4.250666667,543.4883333,-1.35204012,1.069745697
Medium,24,Random,2,8,2010,848.7403333,3.023666667,845.7166667,-0.7493405,0.4450171
Medium,25,Random,2,12,2010,147.3496667,0,147.3496667,-0.012728745,0.003202436
Shallow,37,Random,3,2,2010,267.239,0,267.239,-0.3751614,-0.0078574
Shallow,38,Random,3,5,2010,518.7916667,0,518.7916667,-0.256362036,-0.476245438
Shallow,39,Random,3,8,2010,467.1073333,9.895,457.2123333,-0.5914133,-0.8493357
Shallow,40,Random,3,12,2010,563.3776667,0,563.3776667,-0.436874631,-0.025343847
Deep,52,Random,4,2,2010,696.804,50.69733333,646.1066667,-2.1852636,-0.8305288
Deep,53,Random,4,5,2010,720.4316667,8.698666667,711.733,-0.748100581,0.695614256
Deep,54,Random,4,8,2010,708.488,38.176,670.312,-0.709776898,-0.038917889
Deep,55,Random,4,12,2010,842.7986667,49.31766667,793.481,-0.4684393,-0.1300242
Medium,67,Random,5,2,2010,452.6666667,0,452.6666667,0.07,0.02
Medium,68,Random,5,5,2010,666.8296667,0,666.8296667,0.654493155,-0.846437736
Medium,69,Random,5,8,2010,493.709,0,493.709,0.3800376,-0.3840388
Medium,70,Random,5,12,2010,642.8926667,7.057666667,635.835,-0.6506892,0.1064252
Deep,81,Random,6,16,2010,477.9953333,33.80166667,444.1936667,-0.5224874,0.5648226
Deep,82,Random,6,2,2010,1104.164667,961.3333333,142.8313333,0.95,-0.42
Deep,83,Random,6,5,2010,529.7546667,47.173,482.5816667,0.7678718,-0.7873845
Deep,84,Random,6,8,2010,657.641,115.4113333,542.2296667,-0.15804988,0.264055941
Deep,85,Random,6,12,2010,566.963,0.609333333,566.3536667,0.371825582,-0.667649924
Medium,97,Random,7,2,2010,431.3823333,0,431.3823333,-0.6026726,0.1738014
Medium,98,Random,7,5,2010,634.669,0,634.669,0.2858096,-0.7866948
Medium,99,Random,7,8,2010,456.7676667,0,456.7676667,-0.3614581,-0.1378725
Medium,100,Random,7,12,2010,633.055,8.52,624.535,-0.4583458,0.1831201
Shallow,112,Random,8,2,2010,736.2593333,0,736.2593333,0.0631152,-0.6730012
Shallow,113,Random,8,5,2010,571.6126667,35.879,535.7336667,-1.024135941,-0.1100049
Shallow,114,Random,8,8,2010,611.1473333,0,611.1473333,-0.8400802,-0.0304351
Shallow,115,Random,8,12,2010,491.494,33.782,457.712,-0.510446204,0.10198132
Deep,126,Random,9,16,2010,886.3083333,0,886.3083333,-0.690571394,0.08204448
Deep,127,Random,9,2,2010,307.71,0,307.71,2.8906192,-1.6558978
Deep,128,Random,9,5,2010,698.566,0.144666667,698.4213333,0.4477443,-0.6549979
Deep,129,Random,9,8,2010,668.2436667,0,668.2436667,-1.0094833,0.1791849
Deep,130,Random,9,12,2010,727.795,0,727.795,-0.567446574,-0.759945199
Shallow,6,Random,1,16,2011,440.56,162.57,277.9866667,0.1037183,-0.2731183
Shallow,7,Random,1,2,2011,177.49,103.19,74.30833333,1.1485136,-0.4298896
Shallow,8,Random,1,5,2011,192.86,20.49,172.3616667,1.0065416,-0.7106738
Shallow,9,Random,1,8,2011,260.83,111.58,149.2583333,-0.343752062,-0.09697173
Shallow,10,Random,1,12,2011,273.31,110.23,163.08,-1.102210578,0.101324787
Medium,21,Random,2,16,2011,316.17,94.68,221.4833333,-0.3649949,0.0883039
Medium,22,Random,2,2,2011,393.07,140.83,252.2366667,-0.208069,1.2488422
Medium,23,Random,2,5,2011,396.94,230.99,165.95,-1.5384286,1.3108448
Medium,24,Random,2,8,2011,261.46,149.63,111.8316667,-1.321521885,1.062086879
Medium,25,Random,2,12,2011,240.44,67.8,172.6383333,-0.438438931,0.066391372
Shallow,37,Random,3,2,2011,328.99,259.36,69.63333333,-0.5881678,0.1606402
Shallow,38,Random,3,5,2011,425.15,152.53,272.6266667,1.829344,-1.0392864
Shallow,39,Random,3,8,2011,116.85,77.08,39.76666667,0.1934529,-0.7196077
Shallow,40,Random,3,12,2011,352.22,184.83,167.3816667,0.3502917,-0.5378229
