Depth,Plot,Treatment,Block,Species,Year,Total,Exotic,Native
Deep,52,Random,4,2,2012,394.03504,297.54427,96.49077
Deep,53,Random,4,5,2012,274.28656,40.13202,234.15454
Deep,54,Random,4,8,2012,390.12783,109.90349,280.22433
Deep,55,Random,4,12,2012,248.53205,102.26676,146.26529
Medium,62,Ordered,5,2,2012,289.96000,16.76540,273.19460
Medium,63,Ordered,5,5,2012,317.13977,70.89228,246.24749
Medium,64,Ordered,5,8,2012,280.89742,96.41588,184.48154
Medium,65,Ordered,5,12,2012,315.10284,106.72097,208.38187
Medium,66,Ordered,5,16,2012,383.96795,64.21879,319.74916
Medium,67,Random,5,2,2012,264.71373,97.71731,166.99641
Medium,68,Random,5,5,2012,241.17453,103.90386,137.27067
Medium,69,Random,5,8,2012,445.21803,147.47007,297.74796
Medium,70,Random,5,12,2012,472.89173,98.37630,374.51543
Deep,77,Ordered,6,2,2012,366.45873,44.58361,321.87512
Deep,78,Ordered,6,5,2012,370.12860,76.63832,293.49028
Deep,79,Ordered,6,8,2012,331.39162,25.87004,305.52158
Deep,80,Ordered,6,12,2012,205.64540,16.87215,188.77325
Deep,81,Random,6,16,2012,265.89664,75.02611,190.87052
Deep,82,Random,6,2,2012,205.74684,112.22348,93.52337
Deep,83,Random,6,5,2012,382.92921,341.12852,41.80069
Deep,84,Random,6,8,2012,274.31078,78.68607,195.62471
Deep,85,Random,6,12,2012,339.53184,104.30220,235.22964
Medium,92,Ordered,7,2,2012,186.81549,108.32026,78.49523
Medium,93,Ordered,7,5,2012,176.63502,34.91557,141.71945
Medium,94,Ordered,7,8,2012,194.50893,50.60139,143.90754
Medium,95,Ordered,7,12,2012,278.63416,44.85778,233.77638
Medium,96,Ordered,7,16,2012,290.70777,59.12640,231.58137
Medium,97,Random,7,2,2012,255.55383,38.39946,217.15437
Medium,98,Random,7,5,2012,272.06669,51.09461,220.97207
Medium,99,Random,7,8,2012,553.83495,75.07306,478.76188
Medium,100,Random,7,12,2012,447.92617,64.71982,383.20635
Shallow,107,Ordered,8,2,2012,190.56681,50.71174,139.85507
Shallow,108,Ordered,8,5,2012,203.53752,16.46789,187.06963
Shallow,109,Ordered,8,8,2012,310.19535,60.90479,249.29056
Shallow,110,Ordered,8,12,2012,378.26854,81.85142,296.41712
Shallow,111,Ordered,8,16,2012,340.83669,82.09528,258.74141
Shallow,112,Random,8,2,2012,163.14628,26.48030,136.66598
Shallow,113,Random,8,5,2012,297.32884,73.12673,224.20211
Shallow,114,Random,8,8,2012,191.60771,4.61562,186.99209
Shallow,115,Random,8,12,2012,181.34590,21.23894,160.10696
Deep,122,Ordered,9,2,2012,171.32138,62.65381,108.66758
Deep,123,Ordered,9,5,2012,463.23424,57.75497,405.47927
Deep,124,Ordered,9,8,2012,282.23606,106.40503,175.83103
Deep,125,Ordered,9,12,2012,321.62236,69.97579,251.64657
Deep,126,Random,9,16,2012,269.73276,36.63765,233.09511
Deep,127,Random,9,2,2012,,,
Deep,128,Random,9,5,2012,795.59240,216.72554,578.86686
Deep,129,Random,9,8,2012,257.53183,72.39379,185.13803
Deep,130,Random,9,12,2012,186.50329,30.45100,156.05230
